"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
182257;2019-01-01;"3";"07:45:00";"TO";153;678,5;"GURUPI";"Ingestão de Álcool";"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";2;0;0;0;2;0;0;1;"-11.774606";"-49.107452";"SR-TO";"UOP01/TO";""
182258;2019-01-01;"3";"07:20:00";"SC";101;378,1;"ICARA";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";1;0;1;0;0;0;1;1;"-28.75016849";"-49.26949069";"SR-SC";"DEL8/2";"UOP01/SC"
182259;2019-01-01;"3";"06:00:00";"MG";262;411,2;"IGARATINGA";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Feridas";"Amanhecer";"Decrescente";"Nublado";"Dupla";"Curva";"Não";2;0;1;0;1;0;1;1;"-19.90069043";"-44.69476461";"SR-MG";"DEL4/8";"UOP03/MG"
182260;2019-01-01;"3";"06:15:00";"GO";60;433;"RIO VERDE";"Falta de Atenção à Condução";"Saída de leito carroçável";"Com Vítimas Feridas";"Amanhecer";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";1;0;0;1;0;0;1;1;"-17.8291";"-51.3566";"SR-GO";"DEL1/4";"UOP01/GO"
182261;2019-01-01;"3";"08:50:00";"RS";290;477,2;"ROSARIO DO SUL";"Ingestão de Álcool";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Reta";"Não";3;0;1;0;2;0;1;2;"-30.240948";"-54.888885";"SR-RS";"DEL9/11";"UOP02/RS"
182262;2019-01-01;"3";"09:40:00";"PR";277;531,3;"CAMPO BONITO";"Desobediência às normas de trânsito pelo condutor";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Sol";"Simples";"Interseção de vias";"Não";2;0;1;0;1;0;1;2;"-25.09843276";"-52.97170125";"SR-PR";"DEL7/4";"UOP02/PR"
182263;2019-01-01;"3";"05:00:00";"MT";158;599,5;"AGUA BOA";"Defeito Mecânico no Veículo";"Incêndio";"Sem Vítimas";"Amanhecer";"Decrescente";"Garoa/Chuvisco";"Simples";"Reta";"Não";1;0;0;0;1;0;0;1;"-14.319";"-52.169";"SR-MT";"DEL2/8";"UOP02/MT"
182264;2019-01-01;"3";"09:30:00";"GO";153;496;"GOIANIA";"Falta de Atenção à Condução";"Colisão lateral";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;0;0;1;1;0;2;"-16.6776";"-49.2314";"SR-GO";"DEL1/1";"UOP01/GO"
182265;2019-01-01;"3";"09:28:00";"PR";369;512,9;"CASCAVEL";"Falta de Atenção à Condução";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;"-24.8717";"-53.3423";"SR-PR";"DEL7/4";"UOP01/PR"
182268;2019-01-01;"3";"07:30:00";"MG";365;645,6;"UBERLANDIA";"Pista Escorregadia";"Capotamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Dupla";"Reta";"Não";1;0;1;0;0;0;1;1;"-18.8857";"-48.4645";"SR-MG";"DEL4/15";"UOP01/MG"
182269;2019-01-01;"3";"10:00:00";"ES";101;121,3;"SOORETAMA";"Condutor Dormindo";"Colisão lateral";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;0;0;1;1;0;1;2;"-19.15490874";"-40.08092881";"SR-ES";"DEL12/4";"UOP01/ES"
182271;2019-01-01;"3";"04:15:00";"PB";361;38,8;"CATINGUEIRA";"Ingestão de Álcool";"Saída de leito carroçável";"Com Vítimas Fatais";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;1;0;1;0;0;1;1;"-7.10157405";"-37.60036469";"SR-PB";"DEL14/3";"UOP01/PB"
182272;2019-01-01;"3";"10:15:00";"RS";290;500,4;"ROSARIO DO SUL";"Condutor Dormindo";"Colisão frontal";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";3;1;1;1;0;0;2;2;"-30.18096";"-55.103222";"SR-RS";"DEL9/11";"UOP02/RS"
182274;2019-01-01;"3";"10:00:00";"RJ";40;109;"DUQUE DE CAXIAS";"Ingestão de Álcool";"Colisão com objeto estático";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Múltipla";"Reta";"Não";1;0;1;0;0;0;1;1;"-22.6836";"-43.2852";"SR-RJ";"DEL5/1";"UOP01/RJ"
182275;2019-01-01;"3";"05:30:00";"RO";364;388;"OURO PRETO DO OESTE";"Falta de Atenção à Condução";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Interseção de vias";"Sim";4;0;1;1;2;0;2;2;"-10.687018";"-62.274075";"SR-RO";"DEL21/3";"UOP02/RO"
182277;2019-01-01;"3";"10:00:00";"PA";10;34;"DOM ELISEU";"Velocidade Incompatível";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Não Informado";"Não";7;0;0;0;6;1;0;3;"-4.15296734";"-47.54608154";"SR-PA";"DEL19/2";"UOP03/PA"
182278;2019-01-01;"3";"11:20:00";"SC";101;213;"PALHOCA";"Defeito Mecânico no Veículo";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;1;1;0;0;2;1;"-27.6446";"-48.6705";"SR-SC";"DEL8/1";"UOP02/SC"
182279;2019-01-01;"3";"09:00:00";"MT";364;585;"DIAMANTINO";"Pista Escorregadia";"Saída de leito carroçável";"Com Vítimas Fatais";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Reta";"Não";5;1;2;0;2;0;2;1;"-14.622551";"-56.264637";"SR-MT";"DEL2/4";"UOP01/MT"
182280;2019-01-01;"3";"11:00:00";"AL";104;82,6;"RIO LARGO";"Falta de Atenção à Condução";"Colisão lateral";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";6;0;4;1;0;1;5;2;"-9.44627602";"-35.83335849";"SR-AL";"DEL13/1";"UOP01/AL"
182281;2019-01-01;"3";"11:50:00";"MG";381;533;"ITATIAIUCU";"Falta de Atenção à Condução";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Curva";"Não";1;0;1;0;0;0;1;1;"-20.1781";"-44.3771";"SR-MG";"DEL4/4";"UOP03/MG"
182282;2019-01-01;"3";"11:25:00";"SC";282;17,8;"PALHOCA";"Falta de Atenção à Condução";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;1;0;1;0;1;2;"-27.665707";"-48.688065";"SR-SC";"DEL8/1";"UOP02/SC"
182284;2019-01-01;"3";"11:45:00";"MG";381;482;"BETIM";"Velocidade Incompatível";"Colisão lateral";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Curva";"Sim";2;0;1;0;1;0;1;2;"-19.9578";"-44.0795";"SR-MG";"DEL4/1";"UOP03/MG"
182285;2019-01-01;"3";"10:45:00";"RO";319;58;"PORTO VELHO";"Defeito na Via";"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Crescente";"Nublado";"Dupla";"Reta";"Sim";1;0;0;0;0;1;0;1;"-8.74342722";"-63.91232014";"SR-RO";"DEL21/1";"UOP01/RO"
182286;2019-01-01;"3";"12:10:00";"SC";282;220,4;"LAGES";"Desobediência às normas de trânsito pelo condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Rotatória";"Não";5;0;1;0;4;0;1;2;"-27.79461039";"-50.32748938";"SR-SC";"DEL8/5";"UOP01/SC"
182287;2019-01-01;"3";"05:30:00";"AM";174;938;"MANAUS";"Ingestão de Álcool";"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";1;0;0;0;1;0;0;1;"-2.507";"-60.036";"SR-AM";"UOP01/AM";""
182288;2019-01-01;"3";"11:20:00";"MA";316;548,4;"CAXIAS";"Desobediência às normas de trânsito pelo condutor";"Colisão com objeto estático";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";2;0;1;1;0;0;2;1;"-4.88692811";"-43.37668419";"SR-MA";"DEL18/3";"UOP02/MA"
182289;2019-01-01;"3";"08:30:00";"BA";101;13;"RIO REAL";"Ingestão de Álcool";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Desvio Temporário";"Não";2;0;1;0;1;0;1;2;"-11.5896";"-37.8761";"SR-SE";"DEL20/2";"UOP03/SE"
182290;2019-01-01;"3";"13:10:00";"GO";20;62,4;"FORMOSA";"Defeito Mecânico no Veículo";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Simples";"Reta";"Não";6;0;2;0;4;0;2;5;"-15.22989";"-47.172417";"SR-DF";"GO";"UOP04/DF"
182292;2019-01-01;"3";"12:10:00";"CE";20;419;"MARACANAU";"Falta de Atenção à Condução";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Dupla";"Reta";"Sim";3;0;0;1;2;0;1;3;"-3.84990811";"-38.56777939";"SR-CE";"DEL16/1";"UOP02/CE"
182293;2019-01-01;"3";"13:20:00";"RJ";101;416;"MANGARATIBA";"Desobediência às normas de trânsito pelo condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Sol";"Simples";"Reta";"Sim";1;0;1;0;0;0;1;1;"-22.907295";"-43.890251";"SR-RJ";"DEL5/3";"UOP01/RJ"
182294;2019-01-01;"3";"11:30:00";"MG";40;462;"SETE LAGOAS";"Não guardar distância de segurança";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Reta";"Não";3;0;0;1;2;0;1;3;"-19.4295";"-44.3368";"SR-MG";"DEL4/2";"UOP01/MG"
182295;2019-01-01;"3";"13:00:00";"RS";101;41;"TRES FORQUILHAS";"Objeto estático sobre o leito carroçável";"Colisão com objeto estático";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";3;0;1;0;1;1;1;1;"-29.542553";"-50.031525";"SR-RS";"DEL9/3";"UOP03/RS"
182296;2019-01-01;"3";"13:40:00";"ES";262;95;"1S MARTINS";"Não guardar distância de segurança";"Engavetamento";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Sim";4;0;0;0;4;0;0;4;"-20.3677";"-41.0595";"SR-ES";"DEL12/1";"UOP02/ES"
182298;2019-01-01;"3";"07:00:00";"RJ";101;296;"ITABORAI";"Falta de Atenção à Condução";"Capotamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";1;0;1;0;0;0;1;1;"-22.767054";"-42.910255";"SR-RJ";"DEL5/2";"UOP02/RJ"
182300;2019-01-01;"3";"13:40:00";"SP";381;84;"SAO PAULO";"Falta de Atenção à Condução";"Capotamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Reta";"Sim";1;0;1;0;0;0;1;1;"-23.44864581";"-46.56965178";"SR-SP";"DEL6/3";"UOP02/SP"
182301;2019-01-01;"3";"12:30:00";"AL";316;114;"CACIMBINHAS";"Falta de Atenção à Condução";"Colisão lateral";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Reta";"Não";2;0;0;2;0;0;2;2;"-9.4028727";"-36.97983456";"SR-AL";"DEL13/3";"UOP01/AL"
182302;2019-01-01;"3";"12:00:00";"PR";153;198,6;"TIBAGI";"Falta de Atenção à Condução";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";1;0;0;1;0;0;1;1;"-24.46746316";"-50.440979";"SR-PR";"DEL7/3";"UOP05/PR"
182303;2019-01-01;"3";"14:00:00";"MG";40;728,9;"OLIVEIRA FORTES";"Velocidade Incompatível";"Colisão com objeto estático";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Curva";"Não";2;0;1;0;1;0;1;1;"-21.3429";"-43.5875";"SR-MG";"DEL5";"UOP01/MG"
182304;2019-01-01;"3";"12:45:00";"BA";324;555;"AMELIA RODRIGUES";"Defeito Mecânico no Veículo";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;2;0;0;0;2;1;"-12.45132785";"-38.71032715";"SR-BA";"DEL10/1";"UOP01/BA"
182305;2019-01-01;"3";"13:40:00";"GO";60;36,6;"GOIANIA";"Desobediência às normas de trânsito pelo condutor";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Rotatória";"Sim";2;0;0;1;1;0;1;2;"-16.73422527";"-49.34840798";"SR-GO";"DEL1/1";"UOP02/GO"
182306;2019-01-01;"3";"12:10:00";"PI";343;313,2;"ALTOS";"Não guardar distância de segurança";"Engavetamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Não Informado";"Não";4;0;1;0;3;0;1;3;"-5.046057";"-42.509869";"SR-PI";"DEL17/1";"UOP01/PI"
182307;2019-01-01;"3";"13:50:00";"BA";116;440;"FEIRA DE SANTANA";"Ingestão de Álcool";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Curva";"Não";3;0;1;1;1;0;2;2;"-12.344";"-39.087";"SR-BA";"DEL10/2";"UOP01/BA"
182308;2019-01-01;"3";"14:40:00";"SC";280;22,5;"ARAQUARI";"Falta de Atenção à Condução";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";3;0;2;0;1;0;2;2;"-26.370924";"-48.702";"SR-SC";"DEL8/3";"UOP03/SC"
182309;2019-01-01;"3";"13:15:00";"RJ";101;453,8;"MANGARATIBA";"Falta de Atenção à Condução";"Colisão transversal";"Sem Vítimas";"Pleno dia";"Crescente";"Sol";"Simples";"Reta";"Sim";2;0;0;0;2;0;0;2;"-22.937099";"-44.010822";"SR-RJ";"DEL5/3";"UOP02/RJ"
